step,base_pos_x,base_pos_y,base_pos_z,base_roll,base_pitch,base_yaw,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,cmd_lin_vel_x,cmd_lin_vel_y,cmd_ang_vel_z,actual_lin_vel_x,actual_lin_vel_y,actual_ang_vel_z,lin_vel_error,ang_vel_error
91,0.501696,1.003715,0.53314173,6.2153177,6.2049675,0.8687732,0.4677351,0.961743,0.04268551,0.6397158,0.79957724,0.0717561,0.7427832,0.42047668,0.13505375,0.826236,0.35887533,0.31805217,0.103726074,0.18299842
92,0.5034437,1.022826,0.53838354,6.223704,6.1999574,0.88569427,0.47864592,0.96866024,0.05485192,0.6444027,0.8151702,0.0792878,0.7427832,0.42047668,0.12659323,0.7527394,0.5557981,0.8359324,0.1356872,0.70933914
93,0.50123775,1.0410734,0.54122907,6.23996,6.227263,0.9122716,0.5034592,1.0049647,0.057124317,0.6534623,0.82163006,0.08954154,0.7427832,0.42047668,0.113304496,0.7228609,0.5605308,1.5664232,0.14146395,1.4531187
94,0.49908835,1.0578508,0.540355,6.249797,6.2646127,0.9415036,0.521086,1.0509012,0.054761484,0.6619957,0.8252424,0.09704743,0.7427832,0.42047668,0.0986886,0.74814844,0.5138746,1.3096927,0.0935519,1.2110041
95,0.49992967,1.0748638,0.5371902,6.242033,0.0026906377,0.95843786,0.51787794,1.085278,0.047354445,0.6680304,0.83538413,0.09742776,0.7427832,0.42047668,0.090221405,0.796242,0.4280621,0.5102898,0.053994287,0.42006838
96,0.5032089,1.0914615,0.5324909,6.216078,0.013657547,0.9626662,0.5081826,1.1005356,0.03753209,0.6717765,0.8550066,0.09192714,0.7427832,0.42047668,0.08810723,0.8158311,0.38636523,-0.07867968,0.08062004,0.16678691
97,0.5063786,1.1087072,0.532278,6.2001677,0.01187079,0.9676674,0.5011665,1.1019418,0.035884395,0.6723637,0.884565,0.08599757,0.7427832,0.42047668,0.085606694,0.79069716,0.3883506,-0.049382348,0.05768737,0.13498904
98,0.5109038,1.1267828,0.5358319,6.1962566,6.2700143,0.96583986,0.49406064,1.0894643,0.04195462,0.675514,0.9209939,0.08238094,0.7427832,0.42047668,0.08652043,0.7737862,0.33661658,-0.7800598,0.0894075,0.86658025
99,0.51532024,1.1455271,0.53809506,6.206977,6.235367,0.9593757,0.48180592,1.083862,0.050890192,0.6849726,0.95281285,0.08186271,0.7427832,0.42047668,0.089752555,0.7849709,0.33626533,-0.10381774,0.094187856,0.19357029
100,0.51650596,1.1643074,0.540653,6.2229986,6.222809,0.9677894,0.48413843,1.088234,0.06289531,0.6915803,0.96975243,0.087120466,0.7427832,0.42047668,0.08554566,0.76257384,0.49159917,0.5837041,0.07382465,0.49815845
101,0.51402473,1.1826725,0.5423976,6.243721,6.2375393,0.9939124,0.5042513,1.1164583,0.066622995,0.69353104,0.97744125,0.09432281,0.7427832,0.42047668,0.072484136,0.7271438,0.5157856,1.4561566,0.096583515,1.3836725
102,0.51009566,1.1984273,0.54025126,6.2619104,6.279876,1.024546,0.526991,1.1696191,0.059646234,0.6943227,0.98061866,0.09889135,0.7427832,0.42047668,0.05716741,0.6982643,0.47262233,1.7370801,0.06856458,1.6799127
103,0.5086839,1.2144375,0.53493065,6.2669835,0.023871439,1.0502427,0.53003025,1.2155149,0.050558582,0.69472915,0.9842131,0.098225035,0.7427832,0.42047668,0.044319034,0.7722518,0.41285604,0.94505703,0.030438006,0.900738
104,0.5097703,1.2313328,0.52820003,6.254839,0.034718223,1.0577312,0.5219807,1.239916,0.039135844,0.694439,0.99784243,0.090850286,0.7427832,0.42047668,0.04057479,0.80626917,0.3766795,-0.18599637,0.07712757,0.22657116
105,0.51082045,1.2482941,0.5263221,6.2448955,0.03843779,1.0643854,0.5169689,1.2447516,0.036443725,0.6900643,1.0214154,0.08388391,0.7427832,0.42047668,0.037247658,0.75347346,0.37135428,0.2261111,0.050272174,0.18886344
106,0.5133314,1.2655973,0.5297593,6.2400036,0.01969021,1.0620673,0.5098845,1.2348157,0.041137666,0.6861467,1.0549558,0.079175234,0.7427832,0.42047668,0.03840673,0.77236396,0.30477658,-0.6028166,0.11942167,0.6412233
107,0.518018,1.2845637,0.53417015,6.241915,6.2512817,1.0539682,0.497863,1.2276963,0.04912062,0.68344,1.0907156,0.07660387,0.7427832,0.42047668,0.04245627,0.7659432,0.25676522,-0.83399993,0.16534156,0.8764562
